50000 200000
3270 25842 10
9523 16840 3
29119 36956 2
37900 8257 6
7039 23975 6
42833 35083 3
34444 6680 6
23804 22807 8
8662 346 7
41461 11919 9
49149 49973 1
31216 14597 9
25475 9319 2
20548 11146 5
32534 44663 3
33808 23632 2
10059 37634 10
44021 49424 5
2855 4148 2
44695 18960 7
29150 5146 5
19863 44973 4
17489 11770 6
27051 2531 2
42010 22758 3
37886 24717 10
40096 30001 9
4322 36966 4
15782 11759 8
15858 41549 2
43793 3634 1
7884 32992 8
40375 16550 1
6985 35682 5
25951 34377 9
49994 14260 6
14461 26724 5
33727 36472 9
32308 25271 4
10253 1837 6
46328 41804 3
27126 33122 6
46824 37185 3
27943 30703 10
7391 15544 1
40654 40083 6
27422 19837 10
32011 21925 7
28941 6456 2
29139 23313 2
23778 10917 9
8784 10484 1
19882 5884 6
34043 43068 2
30207 42500 6
27061 3790 10
6269 34697 10
18562 28786 7
28589 16101 2
10821 36699 6
1544 25602 3
17363 13318 9
9649 11682 10
25773 41516 9
47014 11841 6
13724 11251 7
26780 24039 5
38257 3637 5
46002 33583 5
16606 18707 9
12354 45653 6
14302 19850 6
19706 1105 8
6747 45552 4
8432 3618 10
17489 4501 2
32704 25397 3
12780 12056 1
39165 3616 9
44881 32558 9
2466 32402 6
33521 34955 2
23585 32251 10
47273 40328 8
28546 47877 1
48193 21963 3
2370 334 5
26023 5340 8
43900 32105 7
24780 33437 6
34990 18146 3
43772 22655 6
48904 5539 9
37891 12476 2
16082 7548 9
43369 17607 2
46613 29889 9
45556 13042 4
45242 28703 1
26367 27575 2
5440 22358 5
376 8619 4
7938 36348 4
45364 35237 2
19889 34351 6
19796 30840 1
40473 45175 2
10694 35431 5
36640 28813 9
31371 29886 6
34353 47839 2
10912 36269 2
4527 14419 8
20400 13715 8
29261 6115 6
17012 6669 2
42590 1923 6
40130 10093 7
29713 42857 8
48573 10265 10
5120 44583 3
27672 14092 7
46736 11393 4
21900 11587 8
27022 30833 5
7912 10166 4
37706 46297 8
36774 15469 3
45220 38974 9
30334 27333 1
42451 3653 10
11704 29144 6
23519 37947 5
26502 31803 3
26672 41405 8
30314 2629 9
21509 31992 1
32385 16685 8
36346 43717 1
31195 30955 3
38089 23031 5
23762 11812 5
5804 33556 10
1108 25096 6
32846 45704 5
6397 35329 2
28734 18886 4
42915 16425 3
16033 40993 10
20148 19090 6
13505 9688 5
11541 35161 8
4839 40076 7
1421 23511 3
35714 34316 3
23309 4544 10
43659 7875 2
45992 2959 7
48634 4756 8
3436 41633 4
26129 22717 4
43956 19414 1
45883 9458 8
43107 19832 3
4502 31894 10
23854 45362 6
9747 22308 3
11137 4390 9
8717 33504 3
1219 452 4
48442 25086 9
45727 43579 3
33454 34994 8
38925 23017 2
46145 15871 5
14935 26131 6
3922 13847 8
26720 38669 2
29244 46500 7
33457 42668 8
11494 12741 9
23383 27554 2
15932 10694 6
2015 8152 5
4258 2289 9
39808 34614 2
24700 47076 3
44408 5065 10
30943 4877 9
40131 16313 9
16311 34361 3
36870 35632 3
29681 17713 4
14917 41193 4
47560 48062 4
44263 160 8
803 92 6
12159 2877 5
45240 30765 8
30665 10466 2
28595 40053 4
45565 5616 1
9576 33457 6
31720 12925 9
25638 48822 5
14865 6371 5
36866 207 9
13420 27442 4
6807 32704 9
9838 14689 2
13630 12084 9
33016 47274 7
41100 43301 4
40659 9056 8
35368 4802 6
10307 20506 7
29103 37663 3
47856 23765 8
35714 45922 8
49993 20010 10
4944 22244 10
42289 39299 4
38306 568 6
48624 10221 1
24828 3112 2
657 47346 7
41228 18206 10
13794 21328 5
25217 38471 4
27819 14654 7
42554 5032 10
29351 39063 1
32777 14106 8
15413 4337 7
403 33829 5
2613 16233 5
23161 40076 10
34777 34706 7
22883 46794 7
49281 18042 5
19104 49731 10
37425 22342 9
12608 18314 1
23900 39058 8
30585 37862 1
9611 4017 10
9532 15287 4
19983 47423 7
36467 17774 3
29451 11036 1
25690 43160 10
49387 21043 8
16 6683 2
4831 42346 2
26823 21023 5
48085 2653 8
18372 22918 7
15673 45515 9
5580 28324 4
31713 44297 7
41909 14222 3
22603 25097 7
5025 38827 9
34701 16556 8
39814 35454 2
9768 46052 1
32310 28557 7
22319 36828 10
20088 23114 7
10562 8086 8
19073 43137 9
7352 40731 7
39523 8546 8
1852 46352 6
41800 25327 7
28182 42416 10
32159 46896 2
11009 32155 7
17208 24614 9
24176 43927 2
40425 7437 8
47613 31148 8
29172 40882 7
566 29000 9
5531 19821 2
12955 23324 8
11357 42216 4
46176 38427 8
9897 21847 9
29867 39802 8
3656 41084 8
9692 16899 8
27090 36240 8
38477 13158 9
14129 33673 2
2805 49051 8
29139 13899 2
42188 4541 5
37482 24960 1
25473 27922 1
39880 14051 5
37380 16808 1
3086 44333 2
19001 49346 8
37915 9220 8
13922 14204 6
32004 42764 8
27350 14637 4
14430 42445 2
25938 4173 5
6965 39177 1
16165 27338 8
8028 25214 1
8456 38246 4
48807 40470 6
22647 13327 4
49556 49715 3
21742 8081 8
12557 4824 4
27529 23695 1
17485 21599 1
39464 1948 6
2561 28257 9
40456 11583 10
24985 18455 7
47797 7155 10
6226 21585 2
46637 9128 2
1752 687 1
33716 43498 8
9702 46765 1
3879 9173 10
40684 32692 4
14488 7867 7
24901 39762 10
36848 17437 7
1618 41291 6
17697 6560 9
17125 38211 6
36458 39614 5
35340 15165 6
10438 28096 10
1102 11286 4
22270 43822 6
24504 17167 6
6300 9447 7
2488 15763 1
30090 1550 7
45016 21808 10
15702 45 10
5199 32908 5
12453 42496 5
17195 10315 10
18350 48910 3
5698 24491 4
44612 16135 4
35065 20839 4
9776 49935 8
44943 47594 6
34621 28114 6
21170 36952 2
35799 42495 6
34699 31866 8
17841 14432 7
3230 3865 2
6915 13621 9
38954 22565 5
41544 42655 8
33644 48593 9
14738 25658 6
18136 22427 7
17676 37510 8
21759 32275 8
27128 20703 8
8685 47161 5
48834 38891 4
40741 22668 7
32145 40742 10
28742 7789 5
5119 2131 4
48331 34540 7
30540 44391 2
46326 11378 6
28706 10515 4
19171 33857 7
28146 4978 5
19562 32646 4
47266 33265 2
17424 30990 2
29230 10906 6
39091 20443 10
18932 16088 3
12467 38232 9
37128 2722 9
23101 29121 3
21525 32397 5
32878 10134 3
32893 11708 2
34596 42247 7
44318 41629 9
46311 9796 3
36211 14278 2
9515 46730 5
9582 45876 10
3909 7634 6
45432 35497 4
34843 6682 6
15085 38223 4
20369 27536 7
4486 43420 9
16225 6028 10
18051 30955 6
31511 46650 8
33241 43866 6
4983 13504 2
4475 14486 10
45091 33656 5
1201 19069 2
4657 37183 8
41248 30724 2
25045 36156 1
1731 27437 5
9767 7592 3
1429 5177 3
16405 45892 1
24053 22895 1
25123 2881 2
42117 24735 6
27554 42580 2
10971 30918 1
24020 49471 9
18771 6747 6
47149 22021 5
41589 36574 9
38075 33630 4
37412 38874 4
11667 17614 6
26151 38666 9
17806 754 6
1777 18265 7
38817 19006 5
45670 15243 6
43515 44515 8
13464 44088 6
25528 27296 2
25313 36639 10
20842 25126 7
31898 1170 9
8911 34871 9
9137 13997 1
20945 1865 5
28652 13600 7
47868 48247 1
23211 46425 9
32914 27303 6
28102 9434 8
25029 31467 1
33052 8178 6
10621 46224 2
4485 20705 1
32754 15605 3
19254 47221 10
28871 20155 6
3574 18735 6
8510 41304 7
20995 33589 1
11895 38727 1
13682 14146 3
49728 26446 9
44056 23206 8
24488 36614 5
40803 29161 1
17800 20276 5
370 46538 4
21516 11992 10
20744 35765 10
46277 29563 8
17533 48290 6
32039 1614 9
24104 13530 4
2471 7684 9
10545 36276 6
42367 41613 10
20845 35474 7
32832 37674 10
24556 38251 9
16554 31917 3
13795 2433 1
37689 49407 9
25217 45783 8
48787 26985 9
44895 27122 10
7945 3897 3
31223 18158 5
1083 25252 6
2023 14294 4
13134 31781 6
4526 18584 6
13076 47574 2
16062 31371 2
20046 18897 3
25696 34350 5
371 9811 8
33071 26772 9
5267 9557 7
16752 36942 1
25809 26947 1
16045 4096 8
22108 9055 4
43970 46008 5
10478 30727 8
30077 45148 4
13963 31268 10
9410 9601 4
8232 21396 2
10757 34947 6
16689 24314 10
43724 45835 6
10848 4772 9
38909 9226 8
11638 6221 1
32430 8296 4
6196 40401 10
21340 40665 5
38394 28248 10
41345 60 10
41161 15534 1
818 43275 3
11717 45392 10
3086 48624 10
49762 46335 10
31980 39025 5
37773 40234 1
2542 1382 8
18142 39604 4
48910 556 10
47374 15604 5
19299 16030 4
28478 12716 3
15718 19162 6
47357 33647 2
7844 31108 1
36215 5802 4
49508 48494 3
33919 6990 6
29362 7213 9
24773 7321 1
48439 38294 7
48594 12750 5
11391 43770 9
24024 6006 7
40968 5669 3
25336 39352 10
36610 42624 10
31183 15684 3
30652 29934 7
37518 26369 4
12810 29118 10
22339 47349 4
18866 2639 7
25452 36093 2
25141 16685 9
48338 18512 9
7738 32556 4
4206 24090 9
20844 8398 6
10756 2302 9
31460 44734 6
45247 39800 4
43887 38268 2
3257 9503 10
4196 8907 2
12677 42203 8
40889 23976 1
41249 19292 8
32428 10581 10
45388 4607 1
38062 24320 10
27701 23343 7
31410 2394 3
13186 44820 10
23333 28824 6
20055 26017 3
7119 49103 7
11968 18876 5
34992 15365 6
38409 1578 5
45036 3046 5
20393 20138 9
40961 3435 3
13815 14413 10
24867 39450 5
6016 13054 1
518 22058 8
33287 32547 8
29555 26399 2
47270 19610 10
44177 38704 8
4295 24817 6
4840 27194 4
4223 45362 2
20483 43884 6
23529 15477 1
37476 19871 7
49567 36847 1
3835 18857 1
43791 3323 5
8897 16577 9
45734 6926 3
3578 49366 1
31140 41456 9
26509 23106 6
2297 13374 5
19527 21322 4
26305 23999 6
48647 5365 7
26742 20749 6
26190 9604 6
6382 23022 6
43620 29187 8
29376 27280 3
25811 33406 6
44781 17186 1
21814 32934 5
36259 45854 10
46825 36607 2
17482 10935 1
19295 27866 6
8133 7411 9
2438 44576 8
30367 8649 6
3594 49637 5
22356 37955 9
31524 41969 4
23423 40915 2
5906 17364 7
773 1070 1
12657 25381 3
32396 7909 4
1365 34107 4
47316 46840 8
18177 47760 2
16981 3823 7
44496 11675 2
5512 11082 7
24384 3643 10
1492 22063 8
19206 41501 7
734 29651 1
39024 5715 8
10516 29332 8
7047 44437 8
10226 20048 3
48914 36256 2
37922 10200 6
28906 39118 5
45129 907 7
994 36191 10
6224 13374 2
35604 16147 8
13237 18620 2
48794 12644 3
29207 34446 6
8338 6959 8
42564 1746 1
48813 39673 7
41051 48221 4
33428 30657 5
23225 32522 2
47598 3541 8
16894 30100 5
8371 48456 4
28683 31741 10
26551 29418 7
28105 31282 3
31806 14659 3
25527 24892 4
8852 1078 3
29339 32109 4
18687 29154 6
35274 17444 2
10977 27576 3
9889 32244 7
5831 31458 2
2925 25697 6
43164 24804 8
49334 19818 9
40976 17478 6
1590 3030 8
4126 14933 6
32243 27707 9
2097 42358 8
16844 48532 9
37857 4780 2
2289 9011 4
26554 36566 1
45375 46984 9
24955 36525 7
8628 39542 10
32045 26437 2
21782 28918 5
43396 45128 4
21233 27643 3
20290 6061 10
43548 2857 1
46004 22870 3
7170 2749 5
45240 22440 1
25870 31269 5
21924 35667 3
30152 18219 3
40245 18224 6
31261 11680 10
11934 30733 6
34187 48855 3
48119 246 3
19157 7419 1
3336 43735 7
15931 21493 3
19424 20036 9
9750 47550 8
15033 30669 2
6 23521 3
36714 16067 8
19524 30354 6
7767 32573 7
47591 39343 5
6323 30540 1
11998 5743 7
22118 21747 5
29612 13012 5
23090 20844 3
36216 21902 4
14262 25840 10
12532 43447 5
44648 6206 9
19038 31143 1
26993 26939 4
20265 38077 9
17843 35284 6
5382 28618 4
35121 1298 5
1651 29413 1
29261 45601 10
15814 27262 10
23558 10726 5
9462 19974 2
47083 6763 4
7320 26338 2
41562 23224 3
39360 40362 9
16383 25377 3
22367 48550 1
27086 30975 7
21289 24373 1
13427 15510 5
26658 44057 10
16649 34063 2
36392 13535 6
8903 25675 8
47378 34321 1
45548 556 3
1413 28305 1
9057 38290 1
6138 21192 9
43762 34604 3
38168 44936 1
15030 32286 5
39241 17220 1
44488 3951 9
11692 6090 6
6830 11087 8
9497 24166 3
22824 15602 5
42277 27628 8
13562 46981 4
36404 18463 6
22371 38125 1
20870 33184 3
37699 10963 5
5726 47368 8
28560 41806 5
17524 9525 5
49585 16577 6
22723 38501 2
887 12615 6
35070 33466 7
16286 4173 6
3519 25398 3
28532 26825 7
41433 13319 9
9859 46981 7
7881 7464 8
43262 49205 3
47095 48222 3
4263 32486 9
44654 24959 4
7573 7289 4
43391 48370 1
4295 7618 3
28451 3250 4
11908 11503 1
26098 13265 9
29914 48589 4
31933 9197 1
23077 27253 5
44299 32658 6
38752 11694 4
47154 49905 2
40189 27814 2
601 41894 8
27483 36018 1
46357 5942 3
12383 22026 6
39645 11267 7
2242 20678 2
7372 14708 8
15260 4340 8
28794 2482 2
20629 30374 8
8667 41832 9
48047 47384 3
30982 9761 2
1120 47964 5
37647 11022 1
34924 40042 9
28121 4690 6
39798 21219 2
29448 5026 8
47029 28993 2
44379 32811 2
41049 28199 5
15780 22033 9
36524 38897 2
7410 32318 6
41578 33739 1
11915 29698 5
17183 26746 9
35567 9782 1
45344 21350 10
4034 32628 9
13505 46218 3
41424 40699 10
38395 19264 4
18153 40626 7
46833 22236 2
21787 34702 3
13678 29583 3
28884 7088 4
11255 41772 8
5964 16737 8
29410 34480 8
30811 7746 1
15803 30497 6
44494 4655 7
49386 39619 10
28381 48426 2
37306 15199 9
3313 29705 9
15557 28373 5
40852 27577 2
11638 36816 2
31705 33407 6
37008 29519 6
16629 47653 4
17167 33437 1
40679 9921 10
5151 46837 9
26708 18073 6
27489 23463 5
9221 21529 3
42117 27230 9
44125 11671 1
9946 6246 9
28264 15703 1
37739 38363 1
26212 23567 8
25024 45342 3
43135 10498 5
13582 4218 5
30288 25149 7
32613 676 10
26164 22172 10
31434 22881 9
15532 22585 9
28416 32189 8
10954 38671 8
16232 47930 1
38620 26896 5
18214 40775 2
30331 7555 5
40339 25260 2
33859 21061 5
43781 3872 6
19396 28484 10
6333 5515 9
35543 14777 3
42463 15578 8
21660 16707 5
34475 18430 1
48632 20832 9
26769 21042 6
42293 32253 6
14126 11408 8
8224 20865 9
32273 49927 10
23568 31222 10
46457 9985 1
18141 23625 3
9427 10548 8
41653 49150 8
49305 40693 5
33063 30606 6
37327 32806 10
17978 19947 3
43754 44705 7
26499 44727 5
10441 21411 3
7578 49569 5
23551 49651 5
4231 13767 10
49934 45719 5
36668 37589 7
34350 32869 3
40568 41182 5
15507 26809 2
3112 28464 4
30603 43426 6
43608 33722 8
14502 48122 9
25586 14384 9
9518 23911 9
47849 12276 7
6849 48752 10
27171 35544 8
41290 17530 9
38008 31897 6
43095 28926 4
7309 8556 4
12784 36340 5
44650 47359 4
32569 32528 5
37042 18622 10
2066 25502 9
44983 20127 10
11181 49714 2
1844 5556 6
40103 31152 7
15494 40839 4
13599 30930 3
35198 23991 4
24154 32431 7
36232 33994 3
21333 22749 9
29707 37463 10
3224 24446 8
31636 39249 4
2174 43968 8
26325 48292 1
43169 8893 10
21150 40422 3
41967 30283 6
1790 9372 1
48239 6570 7
4976 45481 1
25468 38272 1
44245 31215 2
21795 38363 6
20239 44829 2
10673 36021 10
23650 27447 7
29420 26771 8
9654 45598 1
10925 12056 7
24539 40034 10
26856 29220 1
7427 25136 3
45323 18056 4
31207 45148 7
2791 21849 1
8757 44679 5
18484 28231 10
13817 15400 7
25876 36819 8
39275 17474 6
45501 30833 6
20260 15711 7
2505 20268 1
27798 12930 8
8358 22505 5
6299 45857 2
11371 21003 6
12587 24757 2
9280 14744 2
33004 10797 7
45922 15642 7
26788 35380 4
24026 10557 9
15908 41607 7
1588 32076 9
19370 14808 4
19130 49646 5
36436 35897 2
24492 25504 9
43328 32672 1
23459 34272 7
21065 16477 8
48900 44560 2
7934 43449 8
47240 25630 10
32383 14598 8
4234 13806 1
19346 49979 10
44324 41359 6
6333 3160 5
9326 1755 9
39792 25394 3
39170 10756 9
30022 41535 1
35623 45709 2
44720 32894 6
33760 46340 4
22612 6660 4
40138 31702 5
8034 46973 6
6633 31572 8
42234 45932 9
10084 28735 10
37484 46852 8
8304 42232 4
33805 48340 3
7119 40123 9
41310 47786 4
32109 24954 10
45132 19934 7
47408 14396 4
23154 10063 6
17596 17872 4
3909 37698 3
28608 33901 5
31006 15608 1
32622 19907 9
12749 10453 5
39589 31024 10
16191 11396 8
46553 13439 9
44406 39759 8
3957 10180 4
23689 24601 6
37382 39776 4
28676 22551 10
23687 44148 2
37237 8860 5
49661 16417 6
20777 27319 2
14458 8462 9
22573 48028 5
6634 12975 10
43190 45813 9
18571 42192 2
26635 4037 7
10301 3941 2
10564 29723 6
2841 20566 5
30003 33839 1
14287 33259 8
49140 20244 4
13513 39900 6
29860 264 7
32949 3051 5
19681 733 5
26569 39416 2
13159 5998 10
5838 42003 2
22045 3714 3
21858 9410 2
39989 4633 5
32061 19014 3
48755 46600 2
16391 30095 4
5277 40187 7
40352 17453 6
29704 2314 6
44420 17071 8
13348 27831 6
12969 2999 6
24895 44892 10
10687 15160 5
11470 49319 7
42975 26391 7
24682 47672 2
38508 23261 3
33774 272 3
18580 43139 7
6542 10965 6
45463 42279 9
21677 24958 7
7019 43575 5
42246 26291 10
42498 38843 5
19062 18762 3
45947 12861 6
38153 42999 6
16237 24996 8
43169 39177 7
20612 17010 1
47514 34493 6
5753 22322 6
49698 23269 7
24274 10613 1
43740 2346 9
17649 25716 9
48293 34177 9
35629 27672 8
6428 47460 4
36096 2881 9
41136 313 9
11086 14514 9
44593 16112 5
2268 33028 9
47270 31419 7
41486 5306 3
19606 19266 4
48994 16065 1
13467 46739 2
39315 36694 4
29469 48609 7
4316 30708 5
12294 23327 9
7088 23764 8
32598 35756 5
22609 41199 6
12768 35686 2
38852 37302 5
20595 49690 8
47790 48704 7
37520 46675 2
47929 6581 2
22615 30726 10
44270 25571 3
14439 22009 1
5128 15664 9
3887 15207 10
3113 45056 7
33915 26866 3
20146 43954 6
38237 11445 9
19692 29103 4
40998 49054 2
15229 18354 5
24897 4322 5
551 32198 9
26900 31317 3
24921 31524 1
41969 42249 8
24364 22016 1
43518 42290 2
1532 24228 5
6904 42837 2
47419 724 5
37262 43006 1
13513 37856 5
25534 41800 1
20962 31504 3
44295 41811 10
18109 784 1
6971 9000 6
17584 14717 9
25333 23823 6
331 32126 6
2321 40381 8
29643 16700 4
11418 28036 5
43986 30034 10
40952 17606 4
30007 21445 4
45637 44818 1
47137 1631 6
21280 26237 8
8827 45224 8
16505 25098 3
19306 6197 3
24268 13668 1
18134 39766 7
28439 3383 3
6296 12219 8
47813 42104 6
30509 41430 5
48349 13341 2
1083 3104 1
10755 35207 9
14782 21525 5
1852 40342 3
37726 28789 6
12537 41171 8
42540 26565 2
13878 13380 3
16385 35933 8
25813 28179 9
4391 31375 1
1579 32604 5
43445 3039 8
29031 17331 7
15767 16401 8
4640 25687 7
27880 9157 6
960 31971 9
26299 41864 3
9275 33487 4
508 49098 8
27140 42967 4
30464 23560 2
11972 5454 8
26117 4912 7
23074 34127 9
47521 39497 6
16394 8570 1
4467 7608 7
26670 2925 9
3875 17208 4
37352 20777 6
31689 6923 3
1678 41288 2
1853 2918 2
48746 28679 5
33018 14546 4
5603 37881 1
28194 43402 10
25439 7867 9
37260 21652 5
39706 13032 2
35239 5507 2
2628 27087 6
25778 41733 9
25341 10077 2
23780 14346 6
20889 8912 6
23788 12106 10
239 28413 10
12692 27989 2
15226 40966 4
27322 5494 5
14956 39342 2
13454 30206 3
42848 40225 6
19280 4749 7
739 35845 5
9913 355 5
7703 2377 8
37302 47734 5
11229 23250 10
36586 26316 6
18785 7439 8
34255 21263 7
41504 4228 5
35163 22220 6
34215 27950 7
36928 9526 10
48552 4673 4
33660 21221 10
46654 11538 1
18068 43928 4
33949 22424 4
2206 40170 7
3869 31477 4
10943 36326 6
40239 46935 2
30838 27905 6
13268 11595 10
48187 12705 10
21834 15898 1
14449 11161 2
42454 682 7
41653 40679 9
34950 2382 1
390 38721 1
47491 6311 8
43127 7552 6
3096 12957 6
39871 48563 8
28987 30685 9
46376 44037 2
2676 25545 1
42322 20303 3
28611 25102 8
26412 4665 8
4558 37979 4
19683 47661 1
1434 11273 10
45352 12248 4
19870 8650 6
44588 49117 4
8998 10732 5
46751 17864 9
15111 35499 8
27789 4175 7
48727 19554 6
31579 1797 2
20500 33192 9
38942 42797 10
48520 11570 6
49231 45784 10
14236 1197 9
43553 47676 8
8330 28861 5
26269 7435 5
12230 9679 5
31288 32128 5
28166 47666 2
13040 7288 1
3556 38117 8
30092 27586 6
3801 29624 8
20572 43130 6
3956 11549 9
41009 10310 2
40525 6659 1
22990 6960 4
12073 43122 8
39315 18685 9
19032 21899 2
32386 29690 3
17974 343 9
29633 28007 8
27110 27195 2
36552 43104 1
24529 25628 4
21120 31871 7
37536 10126 1
48641 25794 3
42534 19644 6
34701 2514 10
32578 20735 4
42061 4544 5
12187 26387 6
8391 29579 7
20705 9768 2
24526 5275 1
38944 25890 9
15320 46685 7
30809 35094 9
7769 12232 8
25074 20207 5
12594 5704 7
22559 14830 3
27638 7692 4
37182 1965 6
43365 25668 7
26635 22655 7
272 804 9
25892 6320 1
21281 9095 10
10672 3669 3
30444 16916 4
32958 32398 2
30664 43479 10
45005 14228 8
7447 41750 6
5178 47635 3
23769 5268 1
24137 513 10
29363 5409 8
18072 40067 2
37536 30431 1
29820 43634 4
9243 3239 5
42771 38197 9
11507 11199 9
16101 23254 10
19501 38929 10
32587 8708 10
17580 38947 1
47902 18664 1
33758 13959 6
25529 40233 9
48511 4985 8
46538 46979 3
3485 32147 8
5742 35586 9
11964 3367 3
30837 23901 4
16627 44975 9
32283 9852 7
27770 2271 5
48869 36745 7
36024 27850 1
6185 28045 10
47306 5279 1
13996 14484 1
39820 39689 6
41366 37483 10
13321 46689 8
35051 5889 7
37457 27433 10
31110 35917 9
10060 244 3
5361 1423 5
20083 28581 5
7261 9096 7
16061 23413 5
16741 15962 7
5362 46276 10
20061 1223 7
42318 15948 1
43032 49081 8
22236 39669 3
4396 32455 1
39592 36463 9
28576 22446 9
26156 13422 3
26820 17511 7
26641 28393 3
36066 43033 3
619 17385 7
3341 24099 3
39550 35027 10
26442 43489 4
46332 40780 3
39296 8444 2
9565 22629 4
15823 6812 2
42247 46078 8
38116 43320 7
20505 18049 6
26927 46834 1
20997 48061 6
46325 26269 10
1010 15077 8
16188 6589 5
34747 2047 1
32329 48878 4
16635 27955 8
24783 34334 3
33580 49404 6
39256 6118 6
24832 23299 10
30101 13002 2
34962 44727 7
49485 29782 7
15610 13290 6
8752 9098 6
2911 17895 7
38655 38024 7
36051 43288 8
11777 44489 8
40551 32658 9
48493 12632 4
18929 18243 8
22069 29226 3
39973 39853 4
41363 235 7
23396 32098 7
38971 10422 2
31981 43512 3
41145 22680 7
29516 49454 6
1354 13261 5
14430 46492 7
8372 41562 9
43563 21410 8
812 29497 9
22993 11935 5
15313 13199 9
43190 825 6
14154 47469 10
23991 27436 2
4198 12449 1
8654 21220 10
4926 49246 6
22355 43220 5
10520 46277 1
5621 11127 2
28603 39671 6
45286 27590 8
13111 23407 1
31801 32945 8
16179 37630 1
14999 32757 9
40219 28708 3
49631 35880 9
30640 49539 9
45150 9053 3
35894 47657 4
46954 9651 2
40310 31412 7
26834 28480 3
38652 18599 2
32484 17213 3
10843 35133 4
1212 10033 5
22968 28481 4
10352 30059 4
42142 12725 7
11420 25790 10
6321 23396 9
24093 19536 5
879 41969 10
29994 31659 10
41522 17594 10
6476 49420 2
27631 44252 3
2379 17454 7
42234 12420 5
44387 39281 8
21486 3082 1
30267 5714 2
11445 21595 6
6545 9654 1
17105 38451 10
24186 27933 5
42111 3348 1
23887 2920 8
43897 3754 3
2080 11103 3
49004 20493 3
19471 13937 4
35877 10800 8
10950 1654 8
10398 17579 2
36520 25727 4
16233 39531 2
10689 13628 9
39825 18017 9
38950 43438 2
24462 1821 3
7027 37016 2
23700 36179 1
21964 40159 7
49775 1809 2
42588 22864 10
44764 14955 6
31533 24771 10
18533 16061 9
23272 28364 2
48982 35581 1
28285 7172 8
12390 15972 1
30385 48386 3
4038 26796 8
797 37824 8
23120 18975 2
10084 46157 3
12883 968 4
38940 18990 7
49150 3341 8
24827 12827 5
41174 23152 10
23229 21395 9
29313 9963 1
4381 6574 4
2122 21749 3
41450 19921 5
4033 29903 7
18585 28274 9
37529 8300 7
45193 10206 9
2642 43556 2
41131 20914 6
26119 16454 7
5654 16541 8
21020 20647 9
17227 21738 10
46077 35751 4
41268 38657 8
33411 10047 10
41269 42841 1
33927 42161 7
18996 39842 9
22088 3580 1
40405 15993 7
45604 30363 2
45598 14317 1
26080 7559 7
44404 7091 6
8928 16251 7
26713 16677 4
28301 9047 9
37137 18528 9
19919 3500 3
49544 12465 5
558 16080 4
44051 15291 3
16594 11594 8
21715 18383 7
5909 41450 3
23736 46181 8
40559 43566 6
49056 13976 4
22246 6883 8
539 36446 7
24270 17360 5
22126 12991 1
16848 11258 3
4706 20964 7
26491 40491 8
40465 32672 6
2357 6734 3
6722 6627 4
40541 5306 6
38712 35346 8
13556 6154 6
42043 2774 1
46261 40562 1
20117 17351 3
24012 24480 8
9966 49543 6
42084 7415 6
35859 37581 3
31159 5742 3
23266 40299 8
9154 41110 7
34210 1362 5
45483 5694 1
3351 5749 8
23614 46178 3
7374 25886 1
24445 590 6
22720 7596 7
49269 1917 1
15484 23224 3
41229 8684 9
8293 23760 9
28222 11741 9
39099 43 1
27114 41484 8
8337 4225 6
27857 24696 3
33788 29623 2
32509 3121 3
42853 37329 10
47855 15667 10
30270 38138 2
13264 40659 5
16608 33940 6
31143 33140 2
24284 28893 8
17812 32061 3
42975 13139 10
38867 8318 7
40259 28398 2
6516 28162 8
38509 2233 2
36279 37177 3
44129 39044 3
26703 26687 8
13599 38527 4
38757 10609 7
16964 39611 9
24537 38632 1
11881 15945 7
30212 43130 10
43110 16742 9
21093 6875 5
13458 14363 6
41202 23730 3
12498 12513 1
2373 6024 4
45367 24659 2
39825 2601 7
21605 31787 4
15186 30089 1
49212 15718 8
22291 21681 1
11178 35290 4
35996 38387 4
30226 36145 3
20946 5680 9
17288 42173 2
19902 959 7
17354 49984 9
41341 16185 9
11841 41209 7
36754 6596 7
1953 41833 7
25277 26927 3
22398 40225 9
14743 37332 3
21183 33396 3
42534 17165 2
16728 34974 4
4390 3654 4
5965 11089 10
44192 23249 4
5974 16569 10
25932 18293 6
20547 14878 10
32285 14270 9
20455 24840 1
23915 37898 8
4355 25564 8
22351 14628 10
17620 41584 8
19359 32122 10
19299 21192 10
48914 38975 4
20212 11794 4
18507 46248 6
37786 43737 4
6796 17835 2
49264 14345 10
27595 9113 10
7973 45283 7
27483 5102 9
4836 13826 9
39305 32280 3
13347 8096 10
25773 47405 1
4540 35215 9
6085 40343 4
40543 44416 8
20342 2874 2
4150 17081 1
40792 13275 1
14213 3881 7
202 26350 7
42976 48852 1
15419 10375 8
31953 39108 1
20449 35635 10
40736 35043 10
20593 7344 4
1277 15259 8
28570 31500 8
28951 40578 3
504 6909 8
22277 365 4
36047 23026 3
36258 38620 4
6345 46974 7
23732 861 7
22935 14257 8
23435 36738 8
2177 48216 9
17389 20754 2
40637 28614 2
14821 4750 4
30063 11908 6
39424 2832 3
24670 21833 4
22808 46654 9
48943 36842 2
45577 36144 6
42040 24652 2
2433 28773 9
38907 21986 4
4142 36480 6
49405 24359 10
32827 44910 5
32973 9351 10
18706 27773 4
29860 42769 6
43586 17289 10
20536 24055 8
21270 42094 2
48761 30512 6
44708 30230 5
44517 5173 6
